SMILES;toxicant;SMR_VSA4;fr_pyridine;fr_lactam;EState_VSA6;EState_VSA7;fr_thiazole;PEOE_VSA9;fr_azo;fr_HOCCN;fr_Ndealkylation1;qed;fr_unbrch_alkane;PEOE_VSA8;fr_furan;fr_ArN;FpDensityMorgan2;fr_para_hydroxylation;EState_VSA3;MinAbsPartialCharge;GATS3se;ATSC8i;GATS4d;ATSC7c;GATS7d;ATSC4s;MATS3Z;MATS2i
CCCCCc1nc(N)nc(N)c1-c1ccc(Cl)cc1;1;0.0;0;0;0.0;24.26546827384644;0;5.693927994848461;0;0;0;0.8232229405889725;2;10.586084805438322;0;2;1.75;0;10.840496091576355;0.22172696406788;0.9962473191588334;-12.727059065018189;1.4161684003603894;0.1005541953251468;1.1000593824228024;14.900574099476708;0.0378275401069518;0.0966679818374507
C[Si]1(C)O[Si](c2ccccc2)O[Si](C)(C)O[Si](C)(C)O1;1;0.0;0;0;0.0;18.19910120538483;0;0.0;0;0;0;0.734505573620057;0;0.0;0;0;1.15;0;0.0;0.4041918830963749;2.773006640393786;40.07505204400052;1.8198572261072263;-0.0268434322610388;0.6292345626072042;50.012800816938906;-0.011803320220319;0.0148006812102132
CCCCC(CCCC)C(=O)O;1;5.917906046161393;0;0;0.0;0.0;0;5.917906046161393;0;0;0;0.6404365706274178;2;0.0;0;0;1.5833333333333333;0;0.0;0.3059871397933203;0.6975059807458569;2.559307241432072;1.1694665487768936;-0.1084352428147404;0.3167305236270753;-14.309244791666666;0.0581818181818181;-0.1769089894490644
CNCCCN1c2ccccc2CCc2ccccc21;1;0.0;0;0;0.0;7.04767198267719;0;0.0;0;0;0;0.8516371541172786;0;17.9195289552797;0;0;1.45;2;0.0;0.0442961117828775;1.191975249193432;4.995869917978981;1.4235762400489895;0.0455477360931366;0.8690845070422535;-3.803602922650543;0.0775992990654205;0.0282611014378223
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(=O)CC2(C)C1(O)C(=O)CCl;1;28.583699077277743;0;0;26.847231705905752;0.0;0;5.880003444970339;0;0;0;0.7110722108100263;0;23.16870860788096;0;0;2.0;0;24.83556939884729;0.1837615982272996;0.8366860531873753;-0.3577256289282933;1.1580888485275314;0.1071490108377135;0.9195461200585652;-83.45446186249586;0.0118397448674506;0.0370105545176726
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)COC(=O)CCN)CC3OC1OC(C)C(O)C(O)C1F;1;5.733667477162185;0;0;0.0;0.0;0;42.42890641479113;0;0;0;0.1403228155390701;0;36.07675412685558;0;0;1.7777777777777777;0;0.0;0.307005874150283;1.0201111111582548;-22.60495265309912;1.065772532188841;0.022449808619967;1.1977530926533702;-22.2543981091059;0.0327425611965237;0.0498366017306386
Cc1nc(N(C)C)nc(OC(=O)N(C)C)c1C;1;0.0;0;0;18.99525369620486;27.94281836473563;0;0.0;0;0;0;0.7749930695325801;0;39.448067417254215;0;0;1.7058823529411764;0;11.828327617421866;0.3906512038129714;1.0600964300137945;33.045127707372515;0.8645637827692677;0.1285585461680655;1.003206823591642;-30.548140589569147;-0.0622017125819584;0.60924874068871
CNC(=O)ON=C(C)SC;0;5.15571272675054;0;0;6.923737199690624;6.255769183511404;0;0.0;0;0;0;0.2710824592993057;0;7.04767198267719;0;0;2.3;0;5.043716986591482;0.3226578025910593;1.1855610990374403;-1.5050175650999955;0.9499999999999998;-0.0600066815474113;0.3238636363636363;-25.49721793552812;-0.1989512803543247;-0.0340100368898748
CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)SCF;1;28.583699077277743;0;0;13.847474399381248;0.0;0;6.103966387748303;0;0;0;0.6823854735858573;0;16.747886984954953;0;0;1.9666666666666663;0;11.761884949391115;0.2233468289734373;0.7769879293715848;-8.62882914753595;1.2105569815599266;0.0878672897682766;0.7440117497138169;-75.2686030121751;0.0154055184144679;0.0310456540454235
CCOCC;1;0.0;0;0;0.0;13.847474399381248;0;0.0;0;0;0;0.4752681489358651;0;13.213763929025836;0;0;1.6;0;0.0;0.0437084125246928;1.933723591517544;0.0;1.1666666666666663;0.0;0;-0.2833333333333332;-0.1235059760956176;-0.1957657115512255
CC(C[Si](C)(C)O[Si](C)(C)C)c1ccccc1;1;0.0;0;0;0.0;0.0;0;0.0;0;0;0;0.692507657382567;0;0.0;0;0;1.5294117647058822;0;5.917906046161393;0.173536689794874;2.807403056242199;5.587911752830541;1.5390363815142571;-0.0225532524799688;0.8743258719416969;13.7915851007259;-0.1800393926662781;-0.20158717536742
CC(C)(C)C(O)C(Oc1ccc(-c2ccccc2)cc1)n1cncn1;1;5.41499046939678;0;0;11.009123009909723;63.23578107830314;0;0.0;0;0;0;0.7661769147957257;0;0.0;0;0;1.6;0;5.749511833283905;0.2187526282799093;1.080194001051901;-5.422107068273903;0.8367491166077737;-0.0453580563778238;0.7284513220421591;-3.862566912615741;-0.1749271137026239;0.1683521866165413
CO;1;0.0;0;0;0.0;0.0;0;0.0;0;0;0;0.3852844044738431;0;7.109797541277533;0;0;1.5;0;0.0;0.0319406837177281;0.0;0.0;0;0.0;0;0.0;0.48;0.0308396328106237
CC(C1CC1)C(O)(Cn1cncn1)c1ccc(Cl)cc1;1;11.835812092322788;0;0;11.009123009909723;24.26546827384644;0;6.544756405912575;0;0;0;0.9214211174268792;0;5.022633313741326;0;0;2.1;0;17.485295765815295;0.1372548468019447;1.0804560974626658;4.9173895540343535;1.181960426061266;-0.0039696800697579;0.6055829763456883;-3.2037699568106026;-0.0565899408694168;0.0825931245391044
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C;1;34.501605123439134;0;0;6.923737199690624;6.076020106833881;0;0.0;0;0;0;0.7013194281770767;0;12.338727669087405;0;0;1.826086956521739;0;17.48439593889127;0.1551972904371737;0.8944468725671796;5.150535958759854;1.0997240049213577;-0.0329420992839959;0.8305207328833168;-3.522613326213356;-0.1271956393695852;0.0879370059003645
CCCCOC(=O)CCCCC(=O)OCCCC;1;0.0;0;0;0.0;0.0;0;13.213763929025836;0;0;0;0.4215226752792795;3;12.84164324585202;0;0;1.1111111111111112;0;38.89705042072988;0.3052777456317892;1.1173124700826464;-5.285423122561773;1.1454415954415955;0.5805042985198782;0.7181174089068827;-25.48347107438016;0.0468685617332992;-0.2033397513625574
C=C(Cl)C=CC(O)CC(=C)CC1OC2C(C)C(OC(=O)CC3CC(OC(C)=O)CC4(CC(C)(O)CC(CC(=C)C(C)C(OC(C)=O)C(C)C(=O)CC5CC(OC)CC6(CC(O)CC(C=CCCCC7OC(O)(CC(O)C7C)C2O)O6)O5)O4)O3)C1O;1;23.671624184645573;0;0;41.72848353973065;12.152040213667762;0;85.0834087453024;0;0;0;0.0610682178148429;0;107.95149266051666;0;0;1.4705882352941178;0;43.25031717476858;0.3083089498343093;1.415584042306331;-9.967930973689583;1.2486793477750264;-1.9753486788818937;1.011776842497076;58.83338854877588;-0.1615354064340499;-0.107341775235226
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O;1;23.16870860788096;0;0;5.573104530069267;13.847474399381248;0;17.808983586480295;0;0;0;0.5199919050350968;0;6.4208216229260096;0;0;1.9666666666666663;0;30.092445807571583;0.0811302362495019;1.1767164715319918;-9.580764914373416;0.9936641595814256;-0.0069932940559649;1.1786420530496358;22.823172834997152;-0.1744857320325916;0.031797662628004
N#CC(Cl)(Cl)Cl;1;0.0;0;0;0.0;0.0;0;0.0;0;0;0;0.4763058525516866;0;0.0;0;0;1.5;0;0.0;0.1935300958357142;0.3094942508852382;0.0;0;0.0;0;0.0;-0.8715953307392994;-0.4034811441566295
CN(CCCN1c2ccccc2CCc2ccccc21)CC(=O)c1ccc(Cl)cc1;1;0.0;0;0;24.26546827384644;7.04767198267719;0;6.544756405912575;0;0;1;0.4540639646278159;0;35.05037016663059;0;0;1.4666666666666666;2;17.130841211350898;0.1763045193504828;1.0119550332124256;10.732387980332264;1.225300035115986;0.1546057193838256;0.860035230896158;0.0304524895962954;-0.0521691575653062;0.0451626637054459
O=[N+]([O-])c1ccc(Oc2ccc(F)cc2F)cc1;1;0.0;0;0;0.0;0.0;0;4.923311048817671;0;0;0;0.6173782991583853;0;18.19910120538483;0;0;1.7222222222222223;0;6.06636706846161;0.2691959768102795;1.1114661681529612;-8.33635509397962;0.9375;-0.0838992166332259;0.975;-24.795288888888887;-0.1144449207029575;-0.2029449358717101
Cc1ccc(NC(=O)N(C)C)cc1Cl;1;0.0;0;0;20.16171103381599;19.056471336613843;0;0.0;0;0;0;0.7629960812555916;0;24.80536355377927;0;0;2.071428571428572;0;10.710019588424888;0.3208174447293631;1.079836393733292;8.477127851879764;0.6619759175975627;0.0954417598441078;1.1035165346995808;-16.920121372310803;-0.123448183890209;0.446320981063464
CN(C)c1ccc(N=Nc2ccccc2F)cc1;1;10.228500251258795;0;0;18.19910120538483;43.2607219700513;0;5.687386274683562;1;0;0;0.7381593922311592;0;19.782730240037942;0;0;1.5555555555555556;0;5.687386274683562;0.1501965724214075;1.0095170729022074;5.499537605421073;0.6949450549450549;-0.0808516011814773;0.8157894736842104;-2.100260416666667;-0.0955094288427621;-0.0666089012107571
Clc1ccc(CN2CCNCC2)cc1;1;0.0;0;0;0.0;12.13273413692322;0;0.0;0;0;0;0.8003735059532641;0;37.7464153433042;0;0;1.7857142857142858;0;0.0;0.040569983234053;1.0210878721164778;-0.0131877581041188;0.9299738219895288;0.0115838847536856;0.9109947643979056;1.061861464376841;-0.1085149713782474;0.0802087717217584
